eventID,poiID,tweetID,text
10,122.0,8.2096840977306829E17,Go Bouchard!!! You can do it #gocanada🇨🇦 #geniebouchard @ Margaret… https://t.co/oFhy3U8y1M
10,122.0,8.209665248904192E17,"A quick stop in play for ""bird poop"" to quote miss Bouchard"
11,62.0,8.2126464519753728E17,!!! @ The Book of Mormon - Melbourne https://t.co/xMLbDVJm0I
11,62.0,8.2126478766959002E17,Excitement! #BookofMormon #BookofMormonMelbourne #MelbourneTheatre @ The Book of Mormon - Melbourne https://t.co/JDDu6rAvSC
11,62.0,8.2126480266000384E17,Tonight's bill. THE BOOK OF MORMON. #themormonsarehere #bookofmormonau @ The Book of Mormon -… https://t.co/9FDRmupLOR
11,62.0,8.2126337479738163E17,BOOK OF MORMON!!!! @ The Book of Mormon - Melbourne https://t.co/Zx06vdnx3M
11,62.0,8.2126517836916326E17,"Oh hai, Kellie Dickerson's head. #frontrow #bookofmormonau #themormonsarehere @ The Book of… https://t.co/HF6Jqw6OHI"
11,62.0,8.2126512663235789E17,Just posted a photo @ The Book of Mormon - Melbourne https://t.co/EXF8AChTjB
12,120.0,8.2131266795669094E17,"So glad to see you win🤗
Love ❤ for fans djokernole 
We also love you, No1e 🙋
#djokerberdy… https://t.co/f9lRjfspK6"
12,120.0,8.2131152516410982E17,Aus open Day 2. Finally able see my favourite play. #novakdjokovic 🙌🏽🙌🏽🎾 @ Rod Laver Arena -… https://t.co/42LxRd9QqL
12,120.0,8.2131328361765274E17,💪🏼🎾💙 #AusOpen #AusOpen2017 @ Rod Laver Arena - Australian Open https://t.co/rayDZjviGi
12,120.0,8.213119279514583E17,🙌🏽 @ Rod Laver Arena - Australian Open https://t.co/QTckJthHyJ
12,120.0,8.2131190697999155E17,#AO selfie...now for the women's match 🎾ausopen #day2ausopen… https://t.co/U5r4mbtkPQ
13,32.0,8.2131491593168486E17,Philip Ragan @ Arcadia Hotel https://t.co/reeuHsKMTG
13,32.0,8.213141074460713E17,Craig-Lee Smith @ Arcadia Hotel https://t.co/n7eUwBwOF3
13,32.0,8.2131434604324454E17,Craig-Lee Smith @ Arcadia Hotel https://t.co/jWpRfJnuWa
13,32.0,8.2131458368407142E17,Scott Candlish @ Arcadia Hotel https://t.co/YkNZHVq3Rd
13,32.0,8.2131448333958758E17,Scott Candlish @ Arcadia Hotel https://t.co/5bMGgfjfHF
13,32.0,8.2131466758275072E17,Scott Candlish @ Arcadia Hotel https://t.co/1cQweuGkKC
13,32.0,8.2131544127671091E17,Philip Ragan @ Arcadia Hotel https://t.co/aUnhOVXpoL
14,63.0,8.2204807010806989E17,An Australian Wood Duck puffing herself up at the Treasury Gardens in Melbourne #Wood #Duck… https://t.co/r61zVq48G0
14,63.0,8.2204841616751002E17,Look at this cute little duckling floating around on the lake at Treasury Gardens #Duck #Bird… https://t.co/JWTZqTGyxm
14,63.0,8.2204825591159603E17,Look at this cute little duckling floating around on the lake at Treasury Gardens #Duck #Bird… https://t.co/tn6nBY2yWZ
14,63.0,8.2204791497759539E17,An Australian Wood Duck snoozing at the Treasury Gardens in Melbourne #Wood #Duck #Bird… https://t.co/dKgpIoLJ92
14,63.0,8.2204765400374477E17,An Australian Wood Duck at the Treasury Gardens in Melbourne #Wood #Duck #Bird #Melbourne… https://t.co/XIaWRu5Un3
15,120.0,8.2230429643995136E17,Better then watching tennis in the van 😂🎾🎾🎾🎾🎾🎾🎾🎾🎾🎾🎾#roadtrip #nosetotail #mkr #cfassnidge… https://t.co/E0lrv8tYFh
15,120.0,8.2230393180808806E17,Thanks @huxtabler @huxtaburger for shouting us lunch .....👍🏻 @ Rod Laver Arena - Australian Open https://t.co/tArETHXtJt
15,120.0,8.2230496110288896E17,Selfie with Martina Hingis #AO Selfie #RLA https://t.co/nFxffbMvAy
15,120.0,8.2230337835712102E17,"Not bad seats #australianopen2k17 , thanks @channel7 😘 @ Rod Laver Arena - Australian Open https://t.co/c9QZoLtYGE"
15,120.0,8.223038314426327E17,"Troicki serving to Wawrinka at the AO, Friday afternoon. If you are… https://t.co/H1i9Vtj8rR"
16,65.0,8.2262885391495987E17,#womensmarch #melbourne @ State Library of Victoria https://t.co/szujCcwV6u
16,65.0,8.2262901794167194E17,Huge turnout at the Melbourne Anti-Trump rally. #AustraliaSaysNoToTrump @ State Library of Victoria https://t.co/d1xgvokV07
16,65.0,8.2262847452760883E17,#womensmarch #melbourne @ State Library of Victoria https://t.co/SsQSwiLi9g
16,65.0,8.2262972228691968E17,"Lot's of little girls here. Our future is in good hands💗👍👊
#WomensMarch #Melbourne @ State… https://t.co/yYjIhinRva"
16,65.0,8.2262856494005862E17,It seems to be a campaign against Donald Trump. @ State Library of Victoria https://t.co/mVjgdDCdO8
16,65.0,8.2262810543727002E17,#womensmarch  #melbourne @ State Library of Victoria https://t.co/REfBkgGVcy
17,121.0,8.230133815778304E17,Perfect day at the tennis! #ausopen2017🎾🇦🇺 @ Australian Open https://t.co/3yxvXFeV2k
17,121.0,8.2301398782256333E17,Flipping out at the Aussie Open! Hahaha #ausopen2017🎾🇦🇺 @ Australian… https://t.co/lyh7ouciaF
17,121.0,8.2301399760367206E17,Em Melbourne com Sam Groth! #ausopen2017 @ Australian Open https://t.co/OopQsMYADF
17,121.0,8.2301348422083789E17,#RLA #AndyMurray #ao @ Australian Open https://t.co/hUEwUj3U5Y
17,121.0,8.2301308639533056E17,Back at it 🎾 #Australianopen #Melbourne @ Australian Open https://t.co/E06426FlEq
18,35.0,8.2305190967837491E17,"this morning in front of Planetshakers Church in Southbank,… https://t.co/BDxN7OreKP"
18,35.0,8.230523402950697E17,"@sofitelmelbourn 
@no35restaurant 
#melbourne @ Melbourne, Australia https://t.co/xzzGSJwh2P"
18,35.0,8.2305158537479782E17,"@fiftytwobook Santana and Doobie Brothers at @australianopen (Apr 11, 2017) https://t.co/yrXGmQaeG5 https://t.co/bX3c5NyC1D"
18,35.0,8.230500801355776E17,"Overnights are killing me, take me back to Melb with my fav pls. 😓 #Melbourne #bestfriend… https://t.co/jU368iihrk"
18,35.0,8.2305043710018355E17,"ACTIVATE 💪🏽 @uniqlo_au #UNIQLOSPORT #uniqloau @ Melbourne, Australia https://t.co/siRcX1v9On"
18,35.0,8.2305159478680781E17,"About lastnight
#birthdaydinner
#dinnerdate 
@sofitelmelbourn 
@no35restaurant 
👌🏻👌🏻🍸🍸 @… https://t.co/84b2DbEf4a"
19,235.0,8.2327463813429658E17,"If you're looking for work in #Melbourne, check out this #job: https://t.co/HGMiXRdWLP #Database #Hiring #CareerArc"
19,235.0,8.2327540531437568E17,"Want to work in #Melbourne, VIC? View our latest opening: https://t.co/iaQOHQTzA9 #Job #DellJobs #IT #Jobs #Hiring #CareerArc"
19,235.0,8.2327513797781094E17,Want to work in #Melbourne? View our latest opening: https://t.co/xCpDN46Yjr #Job #HR #Jobs #Hiring #CareerArc
19,235.0,8.2327580815213773E17,"We're #hiring! Click to apply: Trade Marketing Executive - https://t.co/YaeDtitRFe #Job #Marketing #Melbourne, VIC #Jobs #CareerArc"
19,235.0,8.2327580823186637E17,"Can you recommend anyone for this #job in #Melbourne, Victoria? https://t.co/NGZx5VqviT #ProductMgmt #Hiring #CareerArc"
20,38.0,8.2383950629387059E17,This happened in Melbourne's Main Street. Unbelievable. Sending love to everyone… https://t.co/LfF5YeOhw4
20,38.0,8.2383786385061069E17,Sadness and strength on the streets of Melbourne. #melbourne #sadness #strength #unity #evil… https://t.co/KhrOzHF53f
20,38.0,8.2383792370327962E17,Sadness and strength on the streets of Melbourne. #melbourne #sadness #strength #unity #evil… https://t.co/GO5xR7KKf8
20,38.0,8.2383780017685709E17,Sadness and strength on the streets of Melbourne. #melbourne #sadness #strength #unity #evil… https://t.co/tlCJiZn7BC
20,38.0,8.2383803260840755E17,Sadness and strength on the streets of Melbourne. #melbourne #sadness #strength #unity #evil… https://t.co/0Yt4iqclXt
21,32.0,8.2386721993965158E17,"Brad Ellis 
aka The Hunter Express @ Arcadia Hotel https://t.co/A0pXhCetLp"
21,32.0,8.2386769829993267E17,"Brad Ellis 
aka The Hunter Express @ Arcadia Hotel https://t.co/YkoFuWaFnd"
21,32.0,8.2386746193001267E17,"Brad Ellis 
aka The Hunter Express @ Arcadia Hotel https://t.co/9Ysyx9ais3"
21,32.0,8.2386642076535603E17,"Brad Ellis 
aka the Hunter Express @ Arcadia Hotel https://t.co/P3r9C6zlir"
21,32.0,8.2386608739785523E17,"Brad Ellis 
aka The Hunter Express @ Arcadia Hotel https://t.co/9h6gUEaHYq"
22,35.0,8.2408912586742579E17,"Just posted a photo @ Melbourne, Australia https://t.co/4xvzWNuICl"
22,35.0,8.2408720011146035E17,"Just posted a photo @ Melbourne, Australia https://t.co/BntZN4hVoa"
22,35.0,8.2408834557591552E17,This is what happens when one visits his two favourite small goods store north of the river!… https://t.co/4sj9SUCdrv
22,35.0,8.2408774551339418E17,Oh yes please! More supersonic comedy stars hit the office gallery for @micomfestival #micf2017… https://t.co/fpYQ6n4e8s
22,35.0,8.2408912075036672E17,"TRIBUTE TO THE VICTIMS OF CRIMINAL HORRON IN MELBOURNE - AUSTRALIA 
#Adeniyiekine #tribute… https://t.co/RKLE6HayGb"
23,35.0,8.2442303615369216E17,"No matter what you're doing today, take a moment, pause and reflect. Not just how #lucky we are,… https://t.co/ZzvQi3BNjz"
23,35.0,8.2442212408972493E17,"#changethedate 
White Australia Has A Black History @ Melbourne, Australia https://t.co/N9jbb5Hiog"
23,35.0,8.2442341023515853E17,Flying into Melbourne for a visit with friends &amp; family for the long weekend     ✈️❤🇦🇺 #home… https://t.co/C9WJjLzxJr
23,35.0,8.2442180614872269E17,"So excited! 😀🇦🇺 @alltimelow #alltimelow 🎶 @ Melbourne, Australia https://t.co/JHTej2HVYX"
23,35.0,8.2424175632576102E17,"#fashion #wall #tattoos @ Melbourne, Australia https://t.co/0oItUKn3XZ"
24,130.0,8.2449563499656397E17,"David Hockney @NGV 
#ipad #art #drawing #inspiration @ NGV International https://t.co/ynLWceGT8q"
24,130.0,8.2449631322807091E17,"Life is a killer --
David Hockney @NGV 
#ipad #art #drawing #inspiration @ NGV International https://t.co/v4ocsL6xIv"
24,130.0,8.2449490158893056E17,"David Hockney @NGV 
#ipad #art #drawing #inspiration @ NGV International https://t.co/Qi8dvqVhjq"
24,130.0,8.2449519409556275E17,"David Hockney @NGV 
#ipad #art #drawing #inspiration @ NGV International https://t.co/StfYwuVhLH"
24,130.0,8.244954000904151E17,"David Hockney @NGV 
#ipad #art #drawing #inspiration @ NGV International https://t.co/rLm8NO7hjm"
25,121.0,8.2497931029762458E17,"#DreamFinal #AusOpen 
Australia - where dreams come true! 
rogerfederer @rafaelnadal… https://t.co/Ffj5B88eAs"
25,121.0,8.249793197809623E17,#stiamoarrivando #sessionehard @ Australian Open https://t.co/VhoVIJhVrk
25,121.0,8.2497876544495616E17,Yes!!!!! My dream final!!! @ Australian Open https://t.co/WX3T8o7t4E
25,121.0,8.2515959773226598E17,Unreal ... #tennis immortals @ Australian Open https://t.co/gZsoaxO7ee
25,121.0,8.2497886541613056E17,"#vamosRafa #GoForIt @rafaelnadal to the @australianopen final!!!!
#GrandeDeEspaña lujimmix… https://t.co/T61P0p3uCd"
26,35.0,8.2518490719011635E17,"How about a small glass of wine he said... 🍷 @ Melbourne, Australia https://t.co/ayDK8w8MFf"
26,35.0,8.251848992169001E17,Good start today with a great opponent. Thanks @gbcrowsnest teammates for the sideline help!… https://t.co/EUuNipQCh5
26,35.0,8.2518447326012621E17,"Create a place that's casual and comfy. A space to relax.

Pictured:
The Marcus sofa with Linea… https://t.co/MJzekrZyGV"
26,35.0,8.2518419779498803E17,"Thank you Australia for a lifetime of a memories 🇦🇺 @ Melbourne,… https://t.co/8I93ADPLn6"
26,35.0,8.2518502051598746E17,Having a hit 🎾 in the middle of the city with buildings surrounding you makes you feel on top of… https://t.co/wDxcMmBMjm
27,120.0,8.2525521067940659E17,"Yes bitches women's final (at @RodLaverArena in Melbourne, VIC) https://t.co/s0QjryccEV"
27,120.0,8.2525542106995098E17,Women singles final #australianopen   #tennis🎾 #williamssisters #venuswilliams #serenawilliams… https://t.co/7rfi8xGIAE
27,120.0,8.2525551271542784E17,Who will hoist it? #Venus or #Serena? Stay tuned...#usta @ Rod Laver Arena - Australian Open https://t.co/vJFJ07UU6G
27,120.0,8.2525597090120909E17,Opening of the roof!! #australianopen #womenstennis #tennis🎾 #serenawilliams #venuswilliams… https://t.co/qv0KxSW3Q2
27,120.0,8.2525678923513446E17,#shitseats #australianopen #womensfinal #vip @ Rod Laver Arena -… https://t.co/kZEerB4WlF
28,120.0,8.2526376408160666E17,@australianopen #ausopen loving the WILLIAMS sisters grand final… https://t.co/QIU5rg1Tj8
28,120.0,8.2526265393313382E17,Serena Williams vs Venus Williams (with Vqar at @australianopen) [pic] — https://t.co/K0Ohvi2Hnz
28,120.0,8.2526318902994534E17,History ! #ao2017 #williamssisters @ Rod Laver Arena - Australian Open https://t.co/MNLQu5i3ZU
28,120.0,8.2526264622830387E17,Poetry in motion from @serenawilliams #melbourne #greatness @australianopen tennisaustralia @… https://t.co/N0YmfGtnPU
28,120.0,8.2526238853450547E17,Hope Serena found some inspiration from my aerial #aerialphotography #ausopen2017 #ausopen… https://t.co/T4iLjGvaoY
28,120.0,8.2526321196446106E17,Old mate kirstykassabis &amp; I watching a little family game of tennis tonight 🎾 #ausopen #ao @ Rod… https://t.co/7SzKrw4XoD
29,120.0,8.2527301094069043E17,"Women's Final. Thanks @little_chief!! 
.
.
#ao #ausopen #ausopen2017 #womensfinal #rla #tennis… https://t.co/ez4ax8DS54"
29,120.0,8.2527265788095283E17,I wonder what if #anything #serenawilliams &amp; #venuswilliams talk about before #playing each… https://t.co/mz9kqWp1Pa
29,120.0,8.2527237543653786E17,.@serenawilliams takes opening set 6-4 #usta @ Rod Laver Arena - Australian Open https://t.co/IScA6N33OE
29,120.0,8.2527383877465702E17,"Venus, Serena, Rod Laver Arena.
Won tickets in raffle ...
can't make that a rhyme right now.… https://t.co/396oeu0p3v"
29,120.0,8.2527451014013747E17,"Smashed Oreo, Salted Caramel mousse, chocolate cremeux, Chocolate glacage for the… https://t.co/6qJhxVujqV"
29,120.0,8.2527332439361946E17,This is going to be a great match. Go Williams' sisters! #AustralianOpen #Venus vs #Serena 🎾 @… https://t.co/jWjH30nRoq
30,38.0,8.2544687342297907E17,#busker #streetstyle #melbourne #bourkestreet #music @ Bourke… https://t.co/XlJGAWhR8o
30,38.0,8.254471613913088E17,#busker #streetstyle #melbourne #bourkestreet #music @ Bourke… https://t.co/u8JDd3zAI5
30,38.0,8.2544701238859366E17,#busker #streetstyle #melbourne #bourkestreet #music @ Bourke… https://t.co/G8wO3066c0
30,38.0,8.254464707403817E17,"#bourkestreet #tragedy #mourning #melbourne @ Bourke Street, Melbourne https://t.co/wAXhCPeBik"
30,38.0,8.2544693692472934E17,#busker #streetstyle #melbourne #bourkestreet #music @ Bourke… https://t.co/xduwpI5eKg
30,38.0,8.2544679707406336E17,#busker #streetstyle #melbourne #bourkestreet #music @ Bourke… https://t.co/uldSfcjyw0
31,235.0,8.2544949479581696E17,This #job might be a great fit for you: Graduate Recruitment Analyst (6 month contract) - https://t.co/xCpDN46Yjr #HR #Melbourne #Hiring
