poiID,theme,subTheme,poiName,lat,long,algo,eventSignal,timeStarted,timeEnded,eventID,Expected Outcome,Step1_Only,Step2_Only,Step1_And_Step2,Step3_Only,Step1_And_Step3,Step2_And_Step3,Full_steps
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.333650079260451E-9,1485592800,1485593400,28,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.4901542222389708E-9,1485595200,1485595800,29,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
38,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061,144.964425882562,tweetVol,1.8185453143360064E-13,1485636600,1485637200,30,NotEvent,NotEvent,GoodEvent,NotEvent,,,,NotEvent
235,Retail,Department Store,Myer,-37.8135911985,144.963855087868,tweetVol,8.370790727241229E-10,1485637200,1485637800,31,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,5.540745640075784E-11,1485678000,1485678600,32,MaybeEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,9.050167149027288E-8,1485681000,1485681600,33,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.0500159974835555E-7,1485691800,1485692400,34,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,6.661338147750939E-16,1485692400,1485693000,35,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,3.5611190662976355E-9,1485693600,1485694200,36,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.3050754454901892E-7,1485695400,1485696000,37,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,2.900248707859987E-9,1485822000,1485822600,38,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
